Fecha,Inflacion,CRECR
1/5/2014,3.50%,5.96%
1/6/2014,3.51%,1.98%
1/7/2014,3.75%,2.36%
1/8/2014,4.07%,-0.08%
1/9/2014,4.15%,0.14%
1/10/2014,4.22%,3.48%
1/11/2014,4.30%,2.56%
1/12/2014,4.17%,0.86%
1/1/2015,4.08%,4.28%
1/2/2015,3.07%,0.45%
1/3/2015,3.00%,2.75%
1/4/2015,3.14%,1.91%
1/5/2015,3.06%,-0.15%
1/6/2015,2.88%,7.94%
1/7/2015,2.87%,2.90%
1/8/2015,2.74%,1.33%
1/9/2015,2.59%,3.39%
1/10/2015,2.52%,1.45%
1/11/2015,2.48%,0.16%
1/12/2015,2.21%,2.37%
1/1/2016,2.13%,0.19%
1/2/2016,2.61%,3.48%
1/3/2016,2.87%,1.20%
1/4/2016,2.60%,6.52%
1/5/2016,2.54%,3.56%
1/6/2016,2.60%,-1.23%
1/7/2016,2.54%,0.64%
1/8/2016,2.65%,-0.04%
1/9/2016,2.73%,1.80%
1/10/2016,2.97%,-2.41%
1/11/2016,3.06%,3.54%
1/12/2016,3.31%,0.93%
1/1/2017,3.36%,2.28%
1/2/2017,4.72%,3.52%
1/3/2017,4.86%,2.72%
1/4/2017,5.35%,-1.55%
1/5/2017,5.82%,3.24%
1/6/2017,6.16%,-0.74%
1/7/2017,6.31%,-1.24%
1/8/2017,6.44%,-1.11%
1/9/2017,6.66%,-0.41%
1/10/2017,6.35%,2.27%
1/11/2017,6.37%,6.43%
1/12/2017,6.63%,0.14%
1/1/2018,6.77%,-3.29%
1/2/2018,5.55%,-3.98%
1/3/2018,5.34%,3.75%
1/4/2018,5.04%,-3.81%
1/5/2018,4.55%,5.40%
1/6/2018,4.51%,0.54%
1/7/2018,4.65%,2.40%
1/8/2018,4.81%,2.59%
1/9/2018,4.90%,-9.31%
1/10/2018,5.02%,-3.72%
1/11/2018,4.90%,4.08%
1/12/2018,4.72%,2.59%
1/1/2019,4.83%,0.41%
1/2/2019,4.37%,-1.25%
1/3/2019,3.94%,2.55%
1/4/2019,4.00%,-1.15%
1/5/2019,4.41%,0.54%
1/6/2019,4.28%,-1.35%
1/7/2019,3.95%,1.72%
1/8/2019,3.78%,2.33%
1/9/2019,3.16%,2.77%
1/10/2019,3.00%,0.59%
1/11/2019,3.02%,4.54%
1/12/2019,2.97%,1.14%
1/1/2020,2.83%,-5.79%
1/2/2020,3.24%,-18.16%
1/3/2020,3.70%,10.16%
1/4/2020,3.25%,2.61%
1/5/2020,2.15%,5.47%
1/6/2020,2.84%,-1.13%
1/7/2020,3.33%,4.20%
1/8/2020,3.62%,0.99%
1/9/2020,4.05%,-4.61%
1/10/2020,4.01%,10.38%
1/11/2020,4.09%,5.60%
1/12/2020,3.33%,-3.18%
1/1/2021,3.15%,5.12%
1/2/2021,3.54%,3.60%
1/3/2021,3.76%,1.06%
1/4/2021,4.67%,3.83%
1/5/2021,6.08%,1.06%
1/6/2021,5.89%,3.55%
1/7/2021,5.88%,2.91%
1/8/2021,5.81%,2.02%
1/9/2021,5.59%,4.32%
1/10/2021,6.00%,-0.26%
1/11/2021,6.24%,4.97%
1/12/2021,7.37%,-1.48%
1/1/2022,7.36%,2.99%
1/2/2022,7.07%,1.88%
1/3/2022,7.28%,-2.71%
1/4/2022,7.45%,-1.61%
1/5/2022,7.68%,-3.64%
1/6/2022,7.65%,1.76%
1/7/2022,7.99%,1.31%
1/8/2022,8.15%,-4.73%
1/9/2022,8.70%,9.82%
1/10/2022,8.70%,2.82%
1/11/2022,8.41%,-2.24%
1/12/2022,7.80%,6.72%
1/1/2023,7.82%,-0.93%
1/2/2023,7.91%,1.23%
1/3/2023,7.62%,0.68%
1/4/2023,6.85%,-0.07%
1/5/2023,6.25%,0.80%
1/6/2023,5.84%,1.65%
1/7/2023,5.06%,-0.48%
1/8/2023,4.79%,-3.46%
1/9/2023,4.64%,-6.63%
1/10/2023,4.45%,10.96%
1/11/2023,4.26%,9.21%
1/12/2023,4.32%,-0.15%
1/1/2024,4.66%,-2.38%
1/2/2024,4.88%,3.78%
1/3/2024,4.40%,-1.23%
1/4/2024,4.42%,9.21%
