Fecha,Inflacion
Abr 2014,3.50000000
May 2014,3.51000000
Jun 2014,3.75000000
Jul 2014,4.07000000
Ago 2014,4.15000000
Sep 2014,4.22000000
Oct 2014,4.30000000
Nov 2014,4.17000000
Dic 2014,4.08000000
Ene 2015,3.07000000
Feb 2015,3.00000000
Mar 2015,3.14000000
Abr 2015,3.06000000
May 2015,2.88000000
Jun 2015,2.87000000
Jul 2015,2.74000000
Ago 2015,2.59000000
Sep 2015,2.52000000
Oct 2015,2.48000000
Nov 2015,2.21000000
Dic 2015,2.13000000
Ene 2016,2.61000000
Feb 2016,2.87000000
Mar 2016,2.60000000
Abr 2016,2.54000000
May 2016,2.60000000
Jun 2016,2.54000000
Jul 2016,2.65000000
Ago 2016,2.73000000
Sep 2016,2.97000000
Oct 2016,3.06000000
Nov 2016,3.31000000
Dic 2016,3.36000000
Ene 2017,4.72000000
Feb 2017,4.86000000
Mar 2017,5.35000000
Abr 2017,5.82000000
May 2017,6.16000000
Jun 2017,6.31000000
Jul 2017,6.44000000
Ago 2017,6.66000000
Sep 2017,6.35000000
Oct 2017,6.37000000
Nov 2017,6.63000000
Dic 2017,6.77000000
Ene 2018,5.55000000
Feb 2018,5.34000000
Mar 2018,5.04000000
Abr 2018,4.55000000
May 2018,4.51000000
Jun 2018,4.65000000
Jul 2018,4.81000000
Ago 2018,4.90000000
Sep 2018,5.02000000
Oct 2018,4.90000000
Nov 2018,4.72000000
Dic 2018,4.83000000
Ene 2019,4.37000000
Feb 2019,3.94000000
Mar 2019,4.00000000
Abr 2019,4.41000000
May 2019,4.28000000
Jun 2019,3.95000000
Jul 2019,3.78000000
Ago 2019,3.16000000
Sep 2019,3.00000000
Oct 2019,3.02000000
Nov 2019,2.97000000
Dic 2019,2.83000000
Ene 2020,3.24000000
Feb 2020,3.70000000
Mar 2020,3.25000000
Abr 2020,2.15000000
May 2020,2.84000000
Jun 2020,3.33000000
Jul 2020,3.62000000
Ago 2020,4.05000000
Sep 2020,4.01000000
Oct 2020,4.09000000
Nov 2020,3.33000000
Dic 2020,3.15000000
Ene 2021,3.54000000
Feb 2021,3.76000000
Mar 2021,4.67000000
Abr 2021,6.08000000
May 2021,5.89000000
Jun 2021,5.88000000
Jul 2021,5.81000000
Ago 2021,5.59000000
Sep 2021,6.00000000
Oct 2021,6.24000000
Nov 2021,7.37000000
Dic 2021,7.36000000
Ene 2022,7.07000000
Feb 2022,7.28000000
Mar 2022,7.45000000
Abr 2022,7.68000000
May 2022,7.65000000
Jun 2022,7.99000000
Jul 2022,8.15000000
Ago 2022,8.70000000
Sep 2022,8.70000000
Oct 2022,8.41000000
Nov 2022,7.80000000
Dic 2022,7.82000000
Ene 2023,7.91000000
Feb 2023,7.62000000
Mar 2023,6.85000000
Abr 2023,6.25000000
May 2023,5.84000000
Jun 2023,5.06000000
Jul 2023,4.79000000
Ago 2023,4.64000000
Sep 2023,4.45000000
Oct 2023,4.26000000
Nov 2023,4.32000000
Dic 2023,4.66000000
Ene 2024,4.88000000
Feb 2024,4.40000000
Mar 2024,4.42000000
